K,Fine(K)
2,1
3,1
4,2
5,2
6,3
7,3
8,5
9,6
10,8
11,8
12,12
13,12
14,15
15,17
16,23
17,23
18,31
19,31
20,41
21,44
22,52
23,52
24,69
25,73
26,85
27,91
28,109
29,109
30,136
31,136
32,162
33,170
34,193
35,199
36,248
37,248
38,279
39,291
40,344
41,344
42,406
43,406
44,466
45,493
46,545
47,545
48,646
49,655
50,740
51,763
52,860
53,860
54,986
55,1002
56,1132
57,1163
58,1272
59,1272
60,1484
61,1484
62,1620
63,1679
64,1868
65,1892
66,2122
67,2122
68,2338
69,2390
70,2631
71,2631
72,2990
73,2990
74,3238
75,3341
76,3651
77,3675
78,4063
79,4063
80,4492
81,4608
82,4952
83,4952
84,5541
85,5587
86,5993
87,6102
88,6636
89,6636
90,7354
91,7390
92,7987
93,8123
94,8668
95,8730
96,9627
97,9627
98,10318
99,10528
100,11439
101,11439
102,12418
103,12418
104,13387
105,13713
106,14573
107,14573
108,15947
109,15947
110,17085
111,17333
112,18646
113,18646
114,20119
115,20223
116,21604
117,21955
118,23227
119,23296
120,25455
121,25519
122,27003
123,27347
124,29103
125,29249
126,31501
127,31501
128,33559
129,33965
130,36075
131,36075
132,38925
133,39018
134,41140
135,41878
136,44455
137,44455
138,47442
139,47442
140,50619
141,51164
142,53795
143,53891
144,57988
145,58206
146,61196
147,61974
148,65460
149,65460
150,69922
151,69922
152,73914
153,74792
154,78695
155,78967
156,84326
157,84326
158,88389
159,89249
160,94511
161,94667
162,100455
163,100455
164,105751
165,107197
166,112149
167,112149
168,119620
169,119764
170,125829
171,127147
172,133546
173,133546
174,141029
175,141634
176,148952
177,150224
178,156860
179,156860
180,167075
181,167075
182,174828
183,176312
184,184948
185,185444
186,195323
187,195507
188,204720
189,206859
190,216271
191,216271
192,228727
193,228727
194,238354
195,240984
196,252374
197,252374
198,265582
199,265582
200,278675
201,280797
202,292236
203,292563
204,308390
205,309078
206,321496
207,324146
208,338731
209,338979
210,356963
211,356963
212,372396
213,375027
214,389600
215,390412
216,411076
217,411484
218,427431
219,430421
220,449832
221,450108
222,470927
223,470927
224,491481
225,496344
226,514990
227,514990
228,540357
229,540357
230,561878
231,566367
232,589461
233,589461
234,616387
235,617477
236,641976
237,646039
238,670121
239,670121
240,703865
241,703865
242,729736
243,734769
244,763256
245,765145
246,797788
247,798160
248,829155
249,834107
250,865104
251,865104
252,905731
253,906147
254,937648
255,945060
256,981022
257,981022
258,1021386
259,1022130
260,1062433
261,1069080
262,1105155
263,1105155
264,1154224
265,1155944
